user_id,pred_date
56298,2017-05-10
34500,2017-05-10
6913,2017-05-09
75125,2017-05-09
37362,2017-05-09
12189,2017-05-09
53266,2017-05-09
65049,2017-05-09
41640,2017-05-10
60261,2017-05-08
39387,2017-05-09
32674,2017-05-08
64624,2017-05-09
15621,2017-05-09
79667,2017-05-12
63239,2017-05-09
6209,2017-05-09
72171,2017-05-09
89655,2017-05-09
8402,2017-05-09
13543,2017-05-10
49679,2017-05-09
71115,2017-05-09
21874,2017-05-09
75998,2017-05-10
4792,2017-05-10
83204,2017-05-12
7537,2017-05-12
5156,2017-05-09
49779,2017-05-10
66982,2017-05-09
76812,2017-05-09
39073,2017-05-10
7310,2017-05-09
26887,2017-05-09
76904,2017-05-12
20747,2017-05-09
30494,2017-05-09
81412,2017-05-09
6014,2017-05-10
3329,2017-05-09
93448,2017-05-09
65544,2017-05-10
63248,2017-05-09
45371,2017-05-11
20661,2017-05-14
18657,2017-05-09
8329,2017-05-10
37936,2017-05-09
18535,2017-05-09
41960,2017-05-10
28451,2017-05-09
18663,2017-05-09
49361,2017-05-10
44868,2017-05-11
68669,2017-05-08
74880,2017-05-10
26529,2017-05-09
61319,2017-05-10
97118,2017-05-10
15108,2017-05-12
55066,2017-05-09
64573,2017-05-09
47663,2017-05-11
33222,2017-05-08
92140,2017-05-09
5629,2017-05-12
38694,2017-05-10
62857,2017-05-10
18325,2017-05-10
39226,2017-05-11
93924,2017-05-09
3464,2017-05-12
59382,2017-05-10
32199,2017-05-09
60275,2017-05-10
9953,2017-05-10
44433,2017-05-09
73114,2017-05-10
86691,2017-05-10
11558,2017-05-12
66555,2017-05-09
41650,2017-05-11
84260,2017-05-09
13940,2017-05-11
69550,2017-05-10
4213,2017-05-11
12567,2017-05-11
61339,2017-05-12
84290,2017-05-10
84194,2017-05-11
98737,2017-05-10
53693,2017-05-10
97922,2017-05-10
26518,2017-05-13
78736,2017-05-10
19012,2017-05-10
86243,2017-05-09
40993,2017-05-11
84946,2017-05-08
81604,2017-05-11
23218,2017-05-10
60933,2017-05-09
84367,2017-05-10
6566,2017-05-10
60248,2017-05-11
31522,2017-05-09
34116,2017-05-09
86457,2017-05-13
23543,2017-05-10
50888,2017-05-09
57346,2017-05-10
556,2017-05-12
44673,2017-05-10
81737,2017-05-11
81439,2017-05-09
42322,2017-05-12
81918,2017-05-10
93019,2017-05-10
70251,2017-05-08
19255,2017-05-10
32985,2017-05-15
52969,2017-05-10
13457,2017-05-09
2964,2017-05-12
72078,2017-05-10
26699,2017-05-10
48855,2017-05-10
25156,2017-05-10
511,2017-05-10
92320,2017-05-08
53141,2017-05-11
31763,2017-05-09
80514,2017-05-09
43718,2017-05-15
94036,2017-05-10
53369,2017-05-10
6592,2017-05-12
5605,2017-05-13
57985,2017-05-13
7938,2017-05-13
9673,2017-05-12
40933,2017-05-11
62999,2017-05-08
72913,2017-05-12
55050,2017-05-11
36801,2017-05-10
56564,2017-05-11
1370,2017-05-08
92755,2017-05-11
80707,2017-05-14
71750,2017-05-11
96397,2017-05-09
4286,2017-05-09
66110,2017-05-10
27876,2017-05-13
47264,2017-05-13
71159,2017-05-10
44189,2017-05-12
38847,2017-05-10
72412,2017-05-10
42463,2017-05-14
85400,2017-05-10
45279,2017-05-09
30233,2017-05-10
7304,2017-05-11
48032,2017-05-11
581,2017-05-10
1914,2017-05-08
17602,2017-05-11
39300,2017-05-10
6570,2017-05-11
18216,2017-05-14
80801,2017-05-11
90992,2017-05-10
95538,2017-05-12
83177,2017-05-10
41740,2017-05-11
37145,2017-05-08
92555,2017-05-10
77535,2017-05-11
95020,2017-05-08
3237,2017-05-09
4315,2017-05-08
73416,2017-05-09
21370,2017-05-09
20255,2017-05-11
19373,2017-05-10
47715,2017-05-10
81208,2017-05-10
60273,2017-05-11
79045,2017-05-10
8932,2017-05-11
51259,2017-05-13
38346,2017-05-11
50605,2017-05-10
69995,2017-05-10
17027,2017-05-10
58281,2017-05-10
54505,2017-05-10
12385,2017-05-10
32354,2017-05-11
39894,2017-05-11
75413,2017-05-11
19169,2017-05-10
75113,2017-05-09
90627,2017-05-12
4352,2017-05-09
43178,2017-05-10
4090,2017-05-11
33503,2017-05-11
9023,2017-05-11
73856,2017-05-09
69296,2017-05-13
82365,2017-05-10
58733,2017-05-10
8009,2017-05-12
88561,2017-05-10
893,2017-05-08
41265,2017-05-15
58240,2017-05-09
85215,2017-05-12
24683,2017-05-11
96125,2017-05-09
48709,2017-05-11
10821,2017-05-14
1742,2017-05-09
42622,2017-05-12
63010,2017-05-09
33191,2017-05-13
73000,2017-05-14
90321,2017-05-11
27181,2017-05-09
74684,2017-05-09
13545,2017-05-13
70902,2017-05-08
75535,2017-05-11
19527,2017-05-12
